job_id	region	chromosome	start	end
56	scaffold1-22	scaffold_1	39900001	41900000
57	scaffold123-573	scaffold_123	1	1383890
58	scaffold1-23	scaffold_1	41800001	42926112
59	scaffold127-574	scaffold_127	1	1291502
60	scaffold129-576	scaffold_129	1	1232022
61	scaffold1-2	scaffold_1	1900001	3900000
62	scaffold131-577	scaffold_131	1	1189807
63	scaffold13-165	scaffold_13	1	2000000
64	scaffold13-166	scaffold_13	1900001	3900000
65	scaffold13-167	scaffold_13	3800001	5800000
66	scaffold13-168	scaffold_13	5700001	7700000
67	scaffold13-169	scaffold_13	7600001	9600000
68	scaffold13-170	scaffold_13	9500001	11500000
69	scaffold13-171	scaffold_13	11400001	13400000
70	scaffold13-172	scaffold_13	13300001	15300000
71	scaffold13-173	scaffold_13	15200001	17200000
72	scaffold132-578	scaffold_132	1	1177617
73	scaffold134-580	scaffold_134	1	1168459
74	scaffold135-581	scaffold_135	1	1134679
75	scaffold140-583	scaffold_140	1	1030899
76	scaffold14-175	scaffold_14	1	2000000
77	scaffold14-176	scaffold_14	1900001	3900000
78	scaffold14-177	scaffold_14	3800001	5800000
79	scaffold14-178	scaffold_14	5700001	7700000
80	scaffold14-179	scaffold_14	7600001	9600000
81	scaffold14-180	scaffold_14	9500001	11500000
82	scaffold14-181	scaffold_14	11400001	13400000
83	scaffold14-182	scaffold_14	13300001	15300000
84	scaffold14-183	scaffold_14	15200001	16782041
85	scaffold142-585	scaffold_142	1	1016810
86	scaffold143-586	scaffold_143	1	1016229
87	scaffold145-587	scaffold_145	1	935395
88	scaffold1-4	scaffold_1	5700001	7700000
89	scaffold15-184	scaffold_15	1	2000000
90	scaffold15-185	scaffold_15	1900001	3900000
91	scaffold15-186	scaffold_15	3800001	5800000
92	scaffold15-187	scaffold_15	5700001	7700000
93	scaffold15-188	scaffold_15	7600001	9600000
94	scaffold15-189	scaffold_15	9500001	11500000
95	scaffold15-190	scaffold_15	11400001	13400000
96	scaffold15-191	scaffold_15	13300001	15300000
97	scaffold15-192	scaffold_15	15200001	16740363
98	scaffold152-591	scaffold_152	1	701540
99	scaffold157-593	scaffold_157	1	637980
100	scaffold158-594	scaffold_158	1	636341
101	scaffold1-5	scaffold_1	7600001	9600000
102	scaffold16-193	scaffold_16	1	2000000
103	scaffold16-194	scaffold_16	1900001	3900000
104	scaffold16-195	scaffold_16	3800001	5800000
105	scaffold16-196	scaffold_16	5700001	7700000
106	scaffold16-197	scaffold_16	7600001	9600000
107	scaffold16-198	scaffold_16	9500001	11500000
108	scaffold16-199	scaffold_16	11400001	13400000
109	scaffold16-200	scaffold_16	13300001	15300000
110	scaffold16-201	scaffold_16	15200001	16453842
111	scaffold163-596	scaffold_163	1	566348
112	scaffold164-597	scaffold_164	1	562164
113	scaffold165-598	scaffold_165	1	526952
114	scaffold166-599	scaffold_166	1	522245
115	scaffold167-600	scaffold_167	1	517456
116	scaffold168-601	scaffold_168	1	517159
117	scaffold1-6	scaffold_1	9500001	11500000
118	scaffold170-602	scaffold_170	1	495114
119	scaffold17-202	scaffold_17	1	2000000
120	scaffold17-203	scaffold_17	1900001	3900000
121	scaffold17-204	scaffold_17	3800001	5800000
122	scaffold17-205	scaffold_17	5700001	7700000
123	scaffold17-206	scaffold_17	7600001	9600000
124	scaffold17-207	scaffold_17	9500001	11500000
125	scaffold17-208	scaffold_17	11400001	13400000
126	scaffold17-209	scaffold_17	13300001	15300000
127	scaffold17-210	scaffold_17	15200001	16403571
128	scaffold172-604	scaffold_172	1	489840
129	scaffold174-605	scaffold_174	1	453075
130	scaffold175-606	scaffold_175	1	447659
131	scaffold176-607	scaffold_176	1	447106
132	scaffold177-608	scaffold_177	1	433485
133	scaffold178-609	scaffold_178	1	433189
134	scaffold179-610	scaffold_179	1	422375
135	scaffold1-7	scaffold_1	11400001	13400000
136	scaffold180-611	scaffold_180	1	402760
137	scaffold18-211	scaffold_18	1	2000000
138	scaffold18-212	scaffold_18	1900001	3900000
139	scaffold18-213	scaffold_18	3800001	5800000
140	scaffold18-214	scaffold_18	5700001	7700000
141	scaffold18-215	scaffold_18	7600001	9600000
142	scaffold18-216	scaffold_18	9500001	11500000
143	scaffold18-217	scaffold_18	11400001	13400000
144	scaffold18-218	scaffold_18	13300001	15300000
145	scaffold18-219	scaffold_18	15200001	15543845
146	scaffold182-612	scaffold_182	1	386085
147	scaffold1-8	scaffold_1	13300001	15300000
148	scaffold19-220	scaffold_19	1	2000000
149	scaffold19-221	scaffold_19	1900001	3900000
150	scaffold19-222	scaffold_19	3800001	5800000
151	scaffold19-223	scaffold_19	5700001	7700000
152	scaffold19-224	scaffold_19	7600001	9600000
153	scaffold19-225	scaffold_19	9500001	11500000
154	scaffold19-226	scaffold_19	11400001	13400000
155	scaffold19-227	scaffold_19	13300001	15300000
156	scaffold19-228	scaffold_19	15200001	15527317
157	scaffold192-613	scaffold_192	1	264112
158	scaffold194-614	scaffold_194	1	255921
159	scaffold196-615	scaffold_196	1	230297
160	scaffold199-616	scaffold_199	1	218184
161	scaffold1-9	scaffold_1	15200001	17200000
162	scaffold20-229	scaffold_20	1	2000000
163	scaffold20-230	scaffold_20	1900001	3900000
164	scaffold20-231	scaffold_20	3800001	5800000
165	scaffold20-232	scaffold_20	5700001	7700000
166	scaffold20-233	scaffold_20	7600001	9600000
167	scaffold20-234	scaffold_20	9500001	11500000
168	scaffold20-235	scaffold_20	11400001	13400000
169	scaffold20-236	scaffold_20	13300001	15300000
170	scaffold20-237	scaffold_20	15200001	15400748
171	scaffold205-618	scaffold_205	1	199475
172	scaffold207-619	scaffold_207	1	191681
173	scaffold21-238	scaffold_21	1	2000000
174	scaffold21-239	scaffold_21	1900001	3900000
175	scaffold21-240	scaffold_21	3800001	5800000
176	scaffold21-241	scaffold_21	5700001	7700000
177	scaffold21-242	scaffold_21	7600001	9600000
178	scaffold21-243	scaffold_21	9500001	11500000
179	scaffold21-244	scaffold_21	11400001	13400000
180	scaffold21-245	scaffold_21	13300001	15284589
181	scaffold21-246	scaffold_21	15200001	15284589
182	scaffold215-621	scaffold_215	1	171445
183	scaffold216-622	scaffold_216	1	171236
184	scaffold22-247	scaffold_22	1	2000000
185	scaffold22-248	scaffold_22	1900001	3900000
186	scaffold22-249	scaffold_22	3800001	5800000
187	scaffold22-250	scaffold_22	5700001	7700000
188	scaffold22-251	scaffold_22	7600001	9600000
189	scaffold22-252	scaffold_22	9500001	11500000
190	scaffold22-253	scaffold_22	11400001	13400000
191	scaffold22-254	scaffold_22	13300001	15195932
192	scaffold223-626	scaffold_223	1	139498
193	scaffold2-24	scaffold_2	1	2000000
194	scaffold225-628	scaffold_225	1	134369
195	scaffold2-25	scaffold_2	1900001	3900000
196	scaffold2-26	scaffold_2	3800001	5800000
197	scaffold2-27	scaffold_2	5700001	7700000
198	scaffold2-28	scaffold_2	7600001	9600000
199	scaffold229-631	scaffold_229	1	127713
200	scaffold2-29	scaffold_2	9500001	11500000
201	scaffold230-632	scaffold_230	1	126207
202	scaffold2-30	scaffold_2	11400001	13400000
203	scaffold2-31	scaffold_2	13300001	15300000
204	scaffold23-255	scaffold_23	1	2000000
205	scaffold23-256	scaffold_23	1900001	3900000
206	scaffold23-257	scaffold_23	3800001	5800000
207	scaffold23-258	scaffold_23	5700001	7700000
208	scaffold23-259	scaffold_23	7600001	9600000
209	scaffold23-260	scaffold_23	9500001	11500000
210	scaffold23-261	scaffold_23	11400001	13400000
211	scaffold23-262	scaffold_23	13300001	14822672
212	scaffold2-32	scaffold_2	15200001	17200000
213	scaffold2-33	scaffold_2	17100001	19100000
214	scaffold2-34	scaffold_2	19000001	21000000
215	scaffold2-35	scaffold_2	20900001	22900000
216	scaffold2-37	scaffold_2	24700001	26700000
217	scaffold2-39	scaffold_2	28500001	30500000
218	scaffold2-40	scaffold_2	30400001	30935055
219	scaffold24-263	scaffold_24	1	2000000
220	scaffold24-264	scaffold_24	1900001	3900000
221	scaffold24-265	scaffold_24	3800001	5800000
222	scaffold24-266	scaffold_24	5700001	7700000
223	scaffold24-267	scaffold_24	7600001	9600000
224	scaffold24-268	scaffold_24	9500001	11500000
225	scaffold24-269	scaffold_24	11400001	13400000
226	scaffold25-271	scaffold_25	1	2000000
227	scaffold25-272	scaffold_25	1900001	3900000
228	scaffold25-273	scaffold_25	3800001	5800000
229	scaffold25-274	scaffold_25	5700001	7700000
230	scaffold25-275	scaffold_25	7600001	9600000
231	scaffold25-276	scaffold_25	9500001	11500000
232	scaffold25-277	scaffold_25	11400001	13400000
233	scaffold25-278	scaffold_25	13300001	14197989
234	scaffold26-279	scaffold_26	1	2000000
235	scaffold26-280	scaffold_26	1900001	3900000
236	scaffold26-281	scaffold_26	3800001	5800000
237	scaffold26-282	scaffold_26	5700001	7700000
238	scaffold26-283	scaffold_26	7600001	9600000
239	scaffold26-284	scaffold_26	9500001	11500000
240	scaffold26-285	scaffold_26	11400001	13400000
241	scaffold26-286	scaffold_26	13300001	14011638
242	scaffold27-287	scaffold_27	1	2000000
243	scaffold27-288	scaffold_27	1900001	3900000
244	scaffold27-289	scaffold_27	3800001	5800000
245	scaffold27-290	scaffold_27	5700001	7700000
246	scaffold27-291	scaffold_27	7600001	9600000
247	scaffold27-292	scaffold_27	9500001	11500000
248	scaffold27-293	scaffold_27	11400001	13400000
249	scaffold27-294	scaffold_27	13300001	13718337
250	scaffold28-295	scaffold_28	1	2000000
251	scaffold28-296	scaffold_28	1900001	3900000
252	scaffold28-297	scaffold_28	3800001	5800000
253	scaffold28-298	scaffold_28	5700001	7700000
254	scaffold28-299	scaffold_28	7600001	9600000
255	scaffold28-300	scaffold_28	9500001	11500000
256	scaffold28-301	scaffold_28	11400001	13360489
257	scaffold29-303	scaffold_29	1	2000000
258	scaffold29-304	scaffold_29	1900001	3900000
259	scaffold29-305	scaffold_29	3800001	5800000
260	scaffold29-306	scaffold_29	5700001	7700000
261	scaffold29-307	scaffold_29	7600001	9600000
262	scaffold29-308	scaffold_29	9500001	11500000
263	scaffold29-309	scaffold_29	11400001	13035591
264	scaffold30-311	scaffold_30	1900001	3900000
265	scaffold30-312	scaffold_30	3800001	5800000
266	scaffold30-313	scaffold_30	5700001	7700000
267	scaffold30-314	scaffold_30	7600001	9600000
268	scaffold30-315	scaffold_30	9500001	11500000
269	scaffold30-316	scaffold_30	11400001	12948050
270	scaffold32-317	scaffold_32	1	2000000
271	scaffold32-318	scaffold_32	1900001	3900000
272	scaffold32-319	scaffold_32	3800001	5800000
273	scaffold32-320	scaffold_32	5700001	7700000
274	scaffold32-321	scaffold_32	7600001	9600000
275	scaffold32-322	scaffold_32	9500001	11500000
276	scaffold32-323	scaffold_32	11400001	12650203
277	scaffold33-324	scaffold_33	1	2000000
278	scaffold33-326	scaffold_33	3800001	5800000
279	scaffold33-327	scaffold_33	5700001	7700000
280	scaffold33-328	scaffold_33	7600001	9600000
281	scaffold33-329	scaffold_33	9500001	11500000
282	scaffold33-330	scaffold_33	11400001	12609017
283	scaffold3-41	scaffold_3	1	2000000
284	scaffold3-42	scaffold_3	1900001	3900000
285	scaffold34-332	scaffold_34	1900001	3900000
286	scaffold34-333	scaffold_34	3800001	5800000
287	scaffold34-334	scaffold_34	5700001	7700000
288	scaffold34-335	scaffold_34	7600001	9600000
289	scaffold34-336	scaffold_34	9500001	11500000
290	scaffold34-337	scaffold_34	11400001	12588068
291	scaffold3-43	scaffold_3	3800001	5800000
292	scaffold3-44	scaffold_3	5700001	7700000
293	scaffold3-45	scaffold_3	7600001	9600000
294	scaffold3-46	scaffold_3	9500001	11500000
295	scaffold3-47	scaffold_3	11400001	13400000
296	scaffold3-48	scaffold_3	13300001	15300000
297	scaffold3-49	scaffold_3	15200001	17200000
298	scaffold3-50	scaffold_3	17100001	19100000
299	scaffold3-51	scaffold_3	19000001	21000000
300	scaffold3-52	scaffold_3	20900001	22900000
301	scaffold35-338	scaffold_35	1	2000000
302	scaffold35-339	scaffold_35	1900001	3900000
303	scaffold35-340	scaffold_35	3800001	5800000
304	scaffold35-341	scaffold_35	5700001	7700000
305	scaffold35-342	scaffold_35	7600001	9600000
306	scaffold35-343	scaffold_35	9500001	11500000
307	scaffold35-344	scaffold_35	11400001	12489541
308	scaffold3-53	scaffold_3	22800001	24800000
309	scaffold3-54	scaffold_3	24700001	26700000
310	scaffold3-55	scaffold_3	26600001	28600000
311	scaffold3-56	scaffold_3	28500001	30500000
312	scaffold3-57	scaffold_3	30400001	30698497
313	scaffold36-345	scaffold_36	1	2000000
314	scaffold36-346	scaffold_36	1900001	3900000
315	scaffold36-347	scaffold_36	3800001	5800000
316	scaffold36-348	scaffold_36	5700001	7700000
317	scaffold36-349	scaffold_36	7600001	9600000
318	scaffold36-351	scaffold_36	11400001	12330529
319	scaffold37-353	scaffold_37	1900001	3900000
320	scaffold37-354	scaffold_37	3800001	5800000
321	scaffold37-355	scaffold_37	5700001	7700000
322	scaffold37-356	scaffold_37	7600001	9600000
323	scaffold37-357	scaffold_37	9500001	11500000
324	scaffold37-358	scaffold_37	11400001	12301138
325	scaffold38-360	scaffold_38	1900001	3900000
326	scaffold38-361	scaffold_38	3800001	5800000
327	scaffold38-362	scaffold_38	5700001	7700000
328	scaffold38-363	scaffold_38	7600001	9600000
329	scaffold38-364	scaffold_38	9500001	11500000
330	scaffold38-365	scaffold_38	11400001	11762017
331	scaffold39-366	scaffold_39	1	2000000
332	scaffold39-367	scaffold_39	1900001	3900000
333	scaffold39-368	scaffold_39	3800001	5800000
334	scaffold39-369	scaffold_39	5700001	7700000
335	scaffold39-370	scaffold_39	7600001	9600000
336	scaffold39-371	scaffold_39	9500001	10926990
337	scaffold40-372	scaffold_40	1	2000000
338	scaffold40-373	scaffold_40	1900001	3900000
339	scaffold40-374	scaffold_40	3800001	5800000
340	scaffold40-375	scaffold_40	5700001	7700000
341	scaffold40-376	scaffold_40	7600001	9600000
342	scaffold40-377	scaffold_40	9500001	10892353
343	scaffold41-378	scaffold_41	1	2000000
344	scaffold41-379	scaffold_41	1900001	3900000
345	scaffold41-380	scaffold_41	3800001	5800000
346	scaffold41-381	scaffold_41	5700001	7700000
347	scaffold41-382	scaffold_41	7600001	9600000
348	scaffold41-383	scaffold_41	9500001	10828049
349	scaffold42-384	scaffold_42	1	2000000
350	scaffold42-385	scaffold_42	1900001	3900000
351	scaffold42-386	scaffold_42	3800001	5800000
352	scaffold42-387	scaffold_42	5700001	7700000
353	scaffold42-388	scaffold_42	7600001	9600000
354	scaffold42-389	scaffold_42	9500001	9983172
355	scaffold43-390	scaffold_43	1	2000000
356	scaffold43-391	scaffold_43	1900001	3900000
357	scaffold43-392	scaffold_43	3800001	5800000
358	scaffold43-393	scaffold_43	5700001	7700000
359	scaffold43-394	scaffold_43	7600001	9600000
360	scaffold43-395	scaffold_43	9500001	9707849
361	scaffold44-396	scaffold_44	1	2000000
362	scaffold44-397	scaffold_44	1900001	3900000
363	scaffold44-398	scaffold_44	3800001	5800000
364	scaffold44-399	scaffold_44	5700001	7700000
365	scaffold44-400	scaffold_44	7600001	9240458
366	scaffold45-401	scaffold_45	1	2000000
367	scaffold45-402	scaffold_45	1900001	3900000
368	scaffold45-403	scaffold_45	3800001	5800000
369	scaffold45-404	scaffold_45	5700001	7700000
370	scaffold45-405	scaffold_45	7600001	9120902
371	scaffold4-58	scaffold_4	1	2000000
372	scaffold4-59	scaffold_4	1900001	3900000
373	scaffold4-60	scaffold_4	3800001	5800000
374	scaffold4-61	scaffold_4	5700001	7700000
375	scaffold4-62	scaffold_4	7600001	9600000
376	scaffold4-63	scaffold_4	9500001	11500000
377	scaffold46-406	scaffold_46	1	2000000
378	scaffold46-407	scaffold_46	1900001	3900000
379	scaffold46-408	scaffold_46	3800001	5800000
380	scaffold46-409	scaffold_46	5700001	7700000
381	scaffold46-410	scaffold_46	7600001	8248687
382	scaffold4-64	scaffold_4	11400001	13400000
383	scaffold4-65	scaffold_4	13300001	15300000
384	scaffold4-66	scaffold_4	15200001	17200000
385	scaffold4-67	scaffold_4	17100001	19100000
386	scaffold4-68	scaffold_4	19000001	21000000
387	scaffold4-69	scaffold_4	20900001	22900000
388	scaffold4-70	scaffold_4	22800001	24800000
389	scaffold4-71	scaffold_4	24700001	26700000
390	scaffold4-72	scaffold_4	26600001	28600000
391	scaffold4-73	scaffold_4	28500001	28824243
392	scaffold47-411	scaffold_47	1	2000000
393	scaffold47-412	scaffold_47	1900001	3900000
394	scaffold47-413	scaffold_47	3800001	5800000
395	scaffold47-414	scaffold_47	5700001	7700000
396	scaffold47-415	scaffold_47	7600001	8242364
397	scaffold48-417	scaffold_48	1900001	3900000
398	scaffold48-418	scaffold_48	3800001	5800000
399	scaffold48-419	scaffold_48	5700001	7700000
400	scaffold48-420	scaffold_48	7600001	8181269
401	scaffold49-421	scaffold_49	1	2000000
402	scaffold49-422	scaffold_49	1900001	3900000
403	scaffold49-423	scaffold_49	3800001	5800000
404	scaffold49-424	scaffold_49	5700001	7700000
405	scaffold49-425	scaffold_49	7600001	8010634
406	scaffold50-426	scaffold_50	1	2000000
407	scaffold50-427	scaffold_50	1900001	3900000
408	scaffold50-428	scaffold_50	3800001	5800000
409	scaffold50-429	scaffold_50	5700001	7700000
410	scaffold50-430	scaffold_50	7600001	7980357
411	scaffold52-431	scaffold_52	1	2000000
412	scaffold52-432	scaffold_52	1900001	3900000
413	scaffold52-433	scaffold_52	3800001	5800000
414	scaffold52-434	scaffold_52	5700001	7525541
415	scaffold53-435	scaffold_53	1	2000000
416	scaffold53-437	scaffold_53	3800001	5800000
417	scaffold53-438	scaffold_53	5700001	7384243
418	scaffold55-439	scaffold_55	1	2000000
419	scaffold55-440	scaffold_55	1900001	3900000
420	scaffold55-441	scaffold_55	3800001	5800000
421	scaffold55-442	scaffold_55	5700001	6939715
422	scaffold56-443	scaffold_56	1	2000000
423	scaffold56-444	scaffold_56	1900001	3900000
424	scaffold56-445	scaffold_56	3800001	5800000
425	scaffold56-446	scaffold_56	5700001	6813797
426	scaffold57-447	scaffold_57	1	2000000
427	scaffold57-448	scaffold_57	1900001	3900000
428	scaffold57-449	scaffold_57	3800001	5800000
429	scaffold57-450	scaffold_57	5700001	6549638
430	scaffold5-74	scaffold_5	1	2000000
431	scaffold5-75	scaffold_5	1900001	3900000
432	scaffold5-76	scaffold_5	3800001	5800000
433	scaffold5-77	scaffold_5	5700001	7700000
434	scaffold5-78	scaffold_5	7600001	9600000
435	scaffold5-79	scaffold_5	9500001	11500000
436	scaffold5-80	scaffold_5	11400001	13400000
437	scaffold5-81	scaffold_5	13300001	15300000
438	scaffold5-82	scaffold_5	15200001	17200000
439	scaffold5-83	scaffold_5	17100001	19100000
440	scaffold58-451	scaffold_58	1	2000000
441	scaffold58-452	scaffold_58	1900001	3900000
442	scaffold58-453	scaffold_58	3800001	5800000
443	scaffold5-84	scaffold_5	19000001	21000000
444	scaffold5-85	scaffold_5	20900001	22900000
445	scaffold5-86	scaffold_5	22800001	24358102
446	scaffold59-455	scaffold_59	1	2000000
447	scaffold59-456	scaffold_59	1900001	3900000
448	scaffold59-457	scaffold_59	3800001	5800000
449	scaffold59-458	scaffold_59	5700001	6346643
450	scaffold60-459	scaffold_60	1	2000000
451	scaffold60-460	scaffold_60	1900001	3900000
452	scaffold60-461	scaffold_60	3800001	5800000
453	scaffold60-462	scaffold_60	5700001	6029156
454	scaffold61-463	scaffold_61	1	2000000
455	scaffold61-464	scaffold_61	1900001	3900000
456	scaffold61-465	scaffold_61	3800001	5800000
457	scaffold61-466	scaffold_61	5700001	5964496
458	scaffold62-467	scaffold_62	1	2000000
459	scaffold62-468	scaffold_62	1900001	3900000
460	scaffold62-469	scaffold_62	3800001	5800000
461	scaffold62-470	scaffold_62	5700001	5936464
462	scaffold63-471	scaffold_63	1	2000000
463	scaffold63-472	scaffold_63	1900001	3900000
464	scaffold63-474	scaffold_63	5700001	5905473
465	scaffold64-475	scaffold_64	1	2000000
466	scaffold64-476	scaffold_64	1900001	3900000
467	scaffold64-477	scaffold_64	3800001	5780226
468	scaffold64-478	scaffold_64	5700001	5780226
469	scaffold65-479	scaffold_65	1	2000000
470	scaffold65-480	scaffold_65	1900001	3900000
471	scaffold65-481	scaffold_65	3800001	5494660
472	scaffold68-482	scaffold_68	1	2000000
473	scaffold68-483	scaffold_68	1900001	3900000
474	scaffold6-87	scaffold_6	1	2000000
475	scaffold6-88	scaffold_6	1900001	3900000
476	scaffold6-89	scaffold_6	3800001	5800000
477	scaffold6-90	scaffold_6	5700001	7700000
478	scaffold6-91	scaffold_6	7600001	9600000
479	scaffold6-92	scaffold_6	9500001	11500000
480	scaffold6-93	scaffold_6	11400001	13400000
481	scaffold69-485	scaffold_69	1	2000000
482	scaffold69-486	scaffold_69	1900001	3900000
483	scaffold69-487	scaffold_69	3800001	4745499
484	scaffold6-94	scaffold_6	13300001	15300000
485	scaffold6-95	scaffold_6	15200001	17200000
486	scaffold6-96	scaffold_6	17100001	19100000
487	scaffold6-97	scaffold_6	19000001	21000000
488	scaffold6-98	scaffold_6	20900001	22900000
489	scaffold6-99	scaffold_6	22800001	23441397
490	scaffold7-100	scaffold_7	1	2000000
491	scaffold7-101	scaffold_7	1900001	3900000
492	scaffold7-102	scaffold_7	3800001	5800000
493	scaffold7-103	scaffold_7	5700001	7700000
494	scaffold7-104	scaffold_7	7600001	9600000
495	scaffold7-105	scaffold_7	9500001	11500000
496	scaffold7-106	scaffold_7	11400001	13400000
497	scaffold7-107	scaffold_7	13300001	15300000
498	scaffold7-108	scaffold_7	15200001	17200000
499	scaffold7-109	scaffold_7	17100001	19100000
500	scaffold7-110	scaffold_7	19000001	21000000
501	scaffold7-111	scaffold_7	20900001	22643589
502	scaffold72-491	scaffold_72	1	2000000
503	scaffold72-492	scaffold_72	1900001	3900000
504	scaffold72-493	scaffold_72	3800001	4558048
505	scaffold73-495	scaffold_73	1900001	3900000
506	scaffold73-496	scaffold_73	3800001	4546986
507	scaffold74-497	scaffold_74	1	2000000
508	scaffold74-498	scaffold_74	1900001	3900000
509	scaffold75-500	scaffold_75	1	2000000
510	scaffold75-501	scaffold_75	1900001	3900000
511	scaffold75-502	scaffold_75	3800001	4297846
512	scaffold76-503	scaffold_76	1	2000000
513	scaffold76-504	scaffold_76	1900001	3900000
514	scaffold76-505	scaffold_76	3800001	4261231
515	scaffold77-507	scaffold_77	1900001	3900000
516	scaffold77-508	scaffold_77	3800001	4206194
517	scaffold78-509	scaffold_78	1	2000000
518	scaffold78-510	scaffold_78	1900001	3900000
519	scaffold78-511	scaffold_78	3800001	4161199
520	scaffold79-512	scaffold_79	1	2000000
521	scaffold79-513	scaffold_79	1900001	3900000
522	scaffold79-514	scaffold_79	3800001	4011640
523	scaffold80-515	scaffold_80	1	2000000
524	scaffold80-516	scaffold_80	1900001	3900000
525	scaffold80-517	scaffold_80	3800001	3989009
526	scaffold8-112	scaffold_8	1	2000000
527	scaffold8-113	scaffold_8	1900001	3900000
528	scaffold8-114	scaffold_8	3800001	5800000
529	scaffold8-115	scaffold_8	5700001	7700000
530	scaffold8-116	scaffold_8	7600001	9600000
531	scaffold8-117	scaffold_8	9500001	11500000
532	scaffold8-118	scaffold_8	11400001	13400000
533	scaffold8-119	scaffold_8	13300001	15300000
534	scaffold8-120	scaffold_8	15200001	17200000
535	scaffold8-121	scaffold_8	17100001	19100000
536	scaffold8-123	scaffold_8	20900001	22536472
537	scaffold81-518	scaffold_81	1	2000000
538	scaffold81-519	scaffold_81	1900001	3900000
539	scaffold82-521	scaffold_82	1	2000000
540	scaffold82-522	scaffold_82	1900001	3625919
541	scaffold83-523	scaffold_83	1	2000000
542	scaffold83-524	scaffold_83	1900001	3460103
543	scaffold85-527	scaffold_85	1	2000000
544	scaffold85-528	scaffold_85	1900001	3255222
545	scaffold86-529	scaffold_86	1	2000000
546	scaffold86-530	scaffold_86	1900001	3223155
547	scaffold89-531	scaffold_89	1	2000000
548	scaffold89-532	scaffold_89	1900001	3193563
549	scaffold90-533	scaffold_90	1	2000000
550	scaffold90-534	scaffold_90	1900001	3107911
551	scaffold9-124	scaffold_9	1	2000000
552	scaffold9-125	scaffold_9	1900001	3900000
553	scaffold9-126	scaffold_9	3800001	5800000
554	scaffold9-127	scaffold_9	5700001	7700000
555	scaffold9-128	scaffold_9	7600001	9600000
556	scaffold9-129	scaffold_9	9500001	11500000
557	scaffold9-130	scaffold_9	11400001	13400000
558	scaffold9-131	scaffold_9	13300001	15300000
559	scaffold9-132	scaffold_9	15200001	17200000
560	scaffold9-133	scaffold_9	17100001	19100000
561	scaffold9-134	scaffold_9	19000001	20381534
562	scaffold91-535	scaffold_91	1	2000000
563	scaffold91-536	scaffold_91	1900001	2927971
564	scaffold92-538	scaffold_92	1900001	2878171
565	scaffold93-539	scaffold_93	1	2000000
566	scaffold93-540	scaffold_93	1900001	2754821
567	scaffold94-541	scaffold_94	1	2000000
568	scaffold95-543	scaffold_95	1	2000000
569	scaffold95-544	scaffold_95	1900001	2633202
570	scaffold97-547	scaffold_97	1	2000000
