chrom	start	end	avg_depth_from_bam_files	recombination_rate_50site_minimum	recombination_rate_200site_minimum	U20_bel_popA	U50_bel_popA	Q95_bel_popA	informative_sites_bel_popA	U20_bel_popB	U50_bel_popB	Q95_bel_popB	informative_sites_bel_popB	mid_position	sites_summ_stats	pi_belem	pi_tapajos	pi_xingu	dxy_tapajos_belem	dxy_xingu_belem	dxy_tapajos_xingu	Fst_tapajos_belem	Fst_xingu_belem	Fst_tapajos_xingu	Tapajos_enrichment	Xingu_enrichment	Belem_enrichment	Tapajos_RTH	Xingu_RTH	Xingu_RTH_inverse	Belem_RTH	Belem_RTH_inverse	Xingu_Belem_RTH	Tapajos_Xingu_RTH	Tapajos_Xingu_RTH_inverse	TMRCAH_Xin_Bel	TMRCAH_Tap_Xin	Tapajos_Xingu_JCR	row_id
Chromosome_1_RagTag	54060000	54070000	13.94090909	6.08e-10	6.08e-10	0	0	0	0	0	0	0	0	54065000	217	0.1023	0.1636	0.1245	0.1781	0.1567	0.1635	0.1483	0.1591	0.0644	3.332	2.535	6.518	1.179	1.362	0.734214391	0.246	4.06504065	0.99	1.362	0.734214391	151411.593	185497.5	0.816246003	5092
Chromosome_1_RagTag	65190000	65200000	14.17575758	1.12e-9	1.12e-9	0	0	0	0	0	0	0	0	65195000	87	0.0773	0.1437	0.13	0.1493	0.1427	0.1441	0.1525	0.1549	0.0262	4.249	4.865	5.293	0.387	0.319	3.134796238	0.575	1.739130435	0.948	0.319	3.134796238	175822.572	59253.4	2.967299294	6192
Chromosome_1_RagTag	66770000	66780000	13.9469697	1.35e-9	1.35e-9	0	0	0	0	0	0	0	0	66775000	163	0.0828	0.1188	0.1211	0.1287	0.1392	0.1246	0.1242	0.1522	0.0191	3.36	2.038	6.427	0.987	1.177	0.849617672	0.066	15.15151515	1	1.177	0.849617672	94380.569	104873.1	0.899950216	6350
Chromosome_1_RagTag	69480000	69490000	13.93818182	1.22e-9	1.22e-9	0	0	0	0	0	0	0	0	69485000	266	0.0729	0.151	0.1053	0.1702	0.1216	0.1503	0.2108	0.152	0.0815	2.632	3.316	7.981	1.514	0.948	1.054852321	0.346	2.89017341	0.835	1.185	0.843881857	76588.886	104873.1	0.730300582	6621
Chromosome_1_RagTag	69680000	69690000	13.02757576	1.57e-9	1.57e-9	0	0	0	0	0	0	0	0	69685000	203	0.1272	0.1497	0.1283	0.1585	0.1809	0.1732	0.0693	0.1728	0.1111	3.829	6.036	3.84	0.991	0.826	1.210653753	0.898	1.113585746	1	1	1	104873.12	104873.133	0.999999876	6641
Chromosome_1_RagTag	69740000	69750000	14.2069697	1.74e-9	1.74e-9	0	0	0	0	0	0	0	0	69745000	210	0.097	0.1435	0.1209	0.1709	0.1572	0.1462	0.1775	0.1799	0.051	3.795	4.866	6.27	0.987	0.803	1.245330012	0.778	1.285347044	1	0.983	1.017293998	104873.1	103048.312	1.017708082	6647
Chromosome_1_RagTag	71330000	71340000	14.23909091	1.17e-9	1.17e-9	0	0	0	0	0	0	0	0	71335000	261	0.0588	0.1173	0.0326	0.1069	0.0878	0.1054	0.0993	0.3249	0.1806	4.002	11.63	8.534	1.054	0.853	1.172332943	0.07	14.28571429	1.254	1	1	131479.152	104873.1	1.253697583	6806
Chromosome_1_RagTag	71340000	71350000	13.8530303	1.17e-9	1.17e-9	0	0	0	0	0	0	0	0	71345000	189	0.1072	0.14	0.0972	0.1683	0.1546	0.1324	0.1564	0.206	0.0565	3.228	3.922	7.416	1.037	0.991	1.009081736	0.106	9.433962264	1.254	0.991	1.009081736	133091.64	104873.1	1.269073194	6807
Chromosome_1_RagTag	71960000	71970000	13.33545455	8.22e-10	8.22e-10	0	0	0	0	0	0	0	0	71965000	279	0.0932	0.1665	0.1618	0.1625	0.1795	0.1688	0.1142	0.1653	0.0138	2.064	2.398	5.85	0.99	1.737	0.575705239	0.537	1.862197393	1.033	1.674	0.597371565	132772.296	200907.798	0.660861835	6866
Chromosome_1_RagTag	76060000	76070000	14.14181818	1.45e-9	1.45e-9	0	0	0	0	0	0	0	0	76065000	247	0.0472	0.1382	0.0766	0.1222	0.0872	0.1218	0.1405	0.166	0.0655	3.631	4.209	9.123	1.122	0.726	1.377410468	0.193	5.18134715	0.919	0.984	1.016260163	136316.616	145185.3	0.938914725	7274
Chromosome_1_RagTag	77560000	77570000	14.19484848	4.77e-10	4.77e-10	0	0	0	0	0	0	0	0	77565000	198	0.037	0.1228	0.1354	0.1194	0.1192	0.1524	0.2022	0.1519	0.0826	4.728	5.021	10.721	1.261	1.038	0.963391137	0.319	3.134796238	1	1.423	0.702740689	104873.1	149216.52	0.702824996	7424
Chromosome_1_RagTag	86830000	86840000	13.92181818	6.75e-10	NA	0	0	0	0	0	0	0	0	86835000	93	0.153	0.105	0.1425	0.2293	0.2089	0.1333	0.285	0.1727	0.0366	2.69	2.72	6.058	0.822	0.595	1.680672269	0.056	17.85714286	1	0.595	1.680672269	104873.1	62446.779	1.679399669	8237
Chromosome_1_RagTag	86840000	86850000	14.12606061	8.8e-10	NA	0	0	0	0	0	0	0	0	86845000	84	0.1455	0.0925	0.1084	0.2013	0.1806	0.1106	0.2619	0.178	0.0479	2.58	2.628	6.516	0.639	0.617	1.620745543	0.333	3.003003003	1	0.617	1.620745543	101223.524	61078.188	1.657277783	8238
Chromosome_1_RagTag	86860000	86870000	14.53	1.7e-9	1.7e-9	0	0	0	0	0	0	0	0	86865000	94	0.1176	0.1253	0.1274	0.1936	0.1713	0.1319	0.2336	0.1663	0.0216	3.014	1.525	6.456	0.943	0.856	1.168224299	0.417	2.398081535	1.062	0.93	1.075268817	90274.796	79326.068	1.138021816	8240
Chromosome_1_RagTag	86870000	86880000	13.77212121	1.7e-9	1.7e-9	0	0	0	0	0	0	0	0	86875000	120	0.1226	0.1264	0.1223	0.1928	0.173	0.1303	0.2194	0.1718	0.0236	3.507	1.945	6.582	1	1	1	0.612	1.633986928	1	1	1	59253.4	59253.4	1	8241
Chromosome_1_RagTag	99790000	99800000	14.04272727	1.07e-9	1.07e-9	0	0	0	0	0	0	0	0	99795000	139	0.0676	0.1261	0.0862	0.1199	0.1091	0.1281	0.1088	0.1715	0.0961	4.925	6.086	9.103	1	1	1	0.564	1.773049645	1	1	1	59253.4	59253.4	1	9478
Chromosome_1_RagTag	99800000	99810000	13.01969697	1.19e-9	NA	0	0	0	0	0	0	0	0	99805000	81	0.0535	0.1321	0.1264	0.1597	0.1289	0.1459	0.2698	0.1713	0.061	4.528	3.396	7.59	1	0.565	1.769911504	0.564	1.773049645	0.715	1	1	42379.545	59253.411	0.715225407	9479
Chromosome_1_RagTag	104820000	104830000	14.0269697	8.79e-10	NA	0	0	0	0	0	0	0	0	104825000	106	0.0664	0.1485	0.173	0.2147	0.176	0.1731	0.3385	0.1824	0.0368	5.214	2.106	4.51	0.325	1	1	0.852	1.17370892	1.023	0.935	1.069518717	59253.4	54607.078	1.085086442	9939
Chromosome_1_RagTag	113500000	113510000	13.9930303	2.11e-9	2.11e-9	0	0	0	0	0	0	0	0	113505000	337	0.2035	0.2255	0.1735	0.2334	0.278	0.3046	0.0433	0.1943	0.2121	3.32	4.089	4.353	0.756	0.351	2.849002849	0.817	1.223990208	0.933	1.145	0.873362445	160605.813	238060.038	0.674644154	10634
Chromosome_1_RagTag	114860000	114870000	14.01969697	2.26e-9	2.26e-9	0	0	0	0	0	0	0	0	114865000	386	0.1335	0.201	0.1071	0.1969	0.1802	0.2124	0.0835	0.2023	0.1655	2.712	6	4.831	0.913	0.381	2.624671916	0.742	1.347708895	0.769	0.989	1.011122346	236251.909	285799.454	0.826635271	10770
Chromosome_1_RagTag	116150000	116160000	13.99121212	8.06e-10	8.06e-10	0	0	0	0	0	0	0	0	116155000	311	0.2587	0.1694	0.1178	0.2626	0.2521	0.1755	0.104	0.152	0.1027	10.432	5.554	2.516	0.167	0.75	1.333333333	1.358	0.736377025	1.473	1.167	0.856898029	95861.45	88475.845	1.083475948	10899
Chromosome_1_RagTag	119380000	119390000	13.84787879	7.07e-10	7.07e-10	0	0	0	0	0	0	0	0	119385000	172	0.0738	0.0973	0.0655	0.1043	0.0939	0.1068	0.1011	0.1495	0.1384	4.942	6.816	5.879	1	0.565	1.769911504	0.319	3.134796238	1	1	1	104873.1	104873.1	1	11222
Chromosome_1_RagTag	119390000	119400000	13.29393939	8.8e-10	8.8e-10	0	0	0	0	0	0	0	0	119395000	183	0.0689	0.1009	0.0535	0.105	0.0833	0.0928	0.1081	0.1557	0.0957	6.255	7.019	5.126	1	0.565	1.769911504	0.632	1.582278481	0.726	1	1	76132.689	104873.1	0.725950592	11223
Chromosome_1_RagTag	119400000	119410000	17.31545455	9.23e-10	9.23e-10	0	0	0	0	0	0	0	0	119405000	175	0.0748	0.1096	0.0534	0.1132	0.0961	0.1064	0.1045	0.2039	0.1382	6.806	7.416	5.995	1.57	0.887	1.127395716	1.092	0.915750916	1.096	1.285	0.778210117	75220.295	87993.811	0.8548362	11224
Chromosome_1_RagTag	119430000	119440000	13.6269697	8.78e-10	8.78e-10	0	0	0	0	0	0	0	0	119435000	152	0.0717	0.092	0.0462	0.1084	0.0912	0.117	0.1426	0.2202	0.267	8.11	8.928	7.032	1.423	0.804	1.243781095	0.57	1.754385965	0.804	1.423	0.702740689	59253.4	104873.1	0.565000939	11227
Chromosome_1_RagTag	119440000	119450000	14.33878788	8.78e-10	8.78e-10	0	0	0	0	0	0	0	0	119445000	160	0.0748	0.105	0.0612	0.1268	0.0943	0.1217	0.1739	0.1645	0.1943	7.665	10.875	7.355	1.755	0.991	1.009081736	0.617	1.620745543	0.991	1.755	0.56980057	59253.4	104873.1	0.565000939	11228
Chromosome_1_RagTag	119880000	119890000	13.84060606	8.67e-10	8.67e-10	0	0	0	0	0	0	0	0	119885000	124	0.0429	0.0911	0.0835	0.1068	0.089	0.1129	0.2335	0.1646	0.1289	3.963	5.924	10.7	0.974	0.622	1.607717042	0.107	9.345794393	0.6	1.062	0.941619586	59253.4	104873.1	0.565000939	11272
Chromosome_1_RagTag	119890000	119900000	13.90939394	8.67e-10	8.67e-10	0	0	0	0	0	0	0	0	119895000	130	0.029	0.1244	0.107	0.1303	0.1004	0.129	0.2639	0.1824	0.0549	7.051	5.14	9.206	0.7	0.996	1.004016064	0.125	8	0.7	1.239	0.807102502	59253.4	104873.1	0.565000939	11273
Chromosome_1_RagTag	119900000	119910000	13.86545455	1.02e-9	NA	2	2	0.65	2	0	0	0	0	119905000	164	0.0583	0.0799	0.1306	0.229	0.1335	0.2136	0.5425	0.165	0.334	11.005	7.126	8.531	0.804	0.649	1.540832049	0.428	2.336448598	0.83	2.517	0.397298371	61990.582	169683.781	0.365330037	11274
Chromosome_1_RagTag	122660000	122670000	14.43666667	1.44e-9	NA	0	0	0.069	3	0	0	0	2	122665000	143	0.0332	0.0775	0.0902	0.1724	0.0853	0.1711	0.5205	0.1539	0.3411	13.693	4.372	11.729	0.635	1	1	0.18	5.555555556	0.659	1	1	69077.287	104873.1	0.65867498	11550
Chromosome_1_RagTag	122670000	122680000	13.5230303	1.44e-9	NA	0	0	0	0	0	0	0	0	122675000	108	0.0499	0.0985	0.1214	0.1709	0.1736	0.1318	0.4009	0.3285	0.0898	6.269	5.229	11.924	0.952	1.685	0.59347181	0.303	3.300330033	1.554	1.624	0.615763547	97117.751	101223.524	0.959438549	11551
Chromosome_1_RagTag	122680000	122690000	13.78272727	1.33e-9	NA	0	0	0	0	0	0	0	0	122685000	140	0.0333	0.0918	0.1096	0.0967	0.1305	0.1335	0.2186	0.2796	0.1395	4.959	5.579	11.426	0.913	0.927	1.078748652	0.29	3.448275862	1.631	1.616	0.618811881	106485.588	104873.1	1.015375611	11552
Chromosome_1_RagTag	122690000	122700000	13.84333333	9.01e-10	9.01e-10	0	0	0	0	0	0	0	0	122695000	118	0.0451	0.136	0.1243	0.1376	0.151	0.1555	0.2105	0.2707	0.0897	3.779	5.078	10.489	1.117	1.294	0.772797527	0.235	4.255319149	1.131	1.308	0.764525994	94380.569	104873.1	0.899950216	11553
Chromosome_1_RagTag	128290000	128300000	13.54	6.71e-10	6.71e-10	0	0	0	0	0	0	0	0	128295000	194	0.0963	0.1086	0.0917	0.1289	0.1302	0.1069	0.1171	0.1625	0.0334	1.813	3.219	6.767	0.922	1	1	0.582	1.718213058	1	1	1	104873.1	104873.1	1	12113
Chromosome_1_RagTag	128630000	128640000	13.74787879	1.17e-9	1.17e-9	0	0	0	0	0	0	0	0	128635000	208	0.1257	0.1516	0.1016	0.1521	0.156	0.1521	0.0474	0.1597	0.0942	2.936	8.232	4.52	0.942	0.631	1.584786054	0.777	1.287001287	1	0.935	1.069518717	177435.06	165341.4	1.073143568	12147
Chromosome_1_RagTag	137790000	137800000	12.43212121	1.26e-9	NA	0	0	0	0	0	0	0	0	137795000	129	0.0927	0.1046	0.0679	0.1743	0.1158	0.1439	0.2825	0.1851	0.2569	10.562	2.995	4.106	0.502	1.579	0.633312223	1.023	0.977517107	1.085	0.891	1.122334456	42733.144	33440.5	1.277885917	13059
Chromosome_1_RagTag	137800000	137810000	14.04151515	1.3e-9	1.3e-9	0	0	0	0	0	0	0	0	137805000	146	0.1189	0.1026	0.0909	0.1952	0.1636	0.1709	0.2809	0.2224	0.2795	8.856	6.94	5.42	0.182	0.542	1.84501845	0.863	1.158748552	1.054	0.991	1.009081736	113073.287	106913.321	1.05761645	13060
Chromosome_1_RagTag	137860000	137870000	13.61848485	5.39e-10	NA	0	0	0	0	0	0	0	0	137865000	158	0.1134	0.0574	0.1542	0.125	0.197	0.2206	0.1921	0.1889	0.3398	8.713	6.811	5.175	0.18	0.378	2.645502646	0.726	1.377410468	0.947	1	1	99292.586	104873.1	0.946787937	13066
Chromosome_1_RagTag	137890000	137900000	13.83606061	1.36e-9	NA	0	0	0	0	0	0	0	0	137895000	122	0.069	0.0501	0.0867	0.1153	0.1123	0.1364	0.3246	0.1801	0.3254	11.277	7.019	7.592	0.318	1	1	0.318	3.144654088	1.154	1.323	0.755857899	68377.34	78413.674	0.872007859	13069
Chromosome_1_RagTag	137900000	137910000	13.42181818	1.36e-9	NA	0	0	0	0	0	0	0	0	137905000	90	0.0718	0.0473	0.0701	0.0981	0.0999	0.0737	0.2497	0.1705	0.1116	10.718	6.874	8.782	0.318	0.662	1.510574018	0.318	3.144654088	1	1	1	59253.4	59253.4	1	13070
Chromosome_1_RagTag	137910000	137920000	14.02212121	1.36e-9	NA	0	0	0	0	0	0	0	0	137915000	99	0.0519	0.0634	0.096	0.143	0.1337	0.1056	0.4316	0.2809	0.1369	10.533	5.941	9.999	0.318	0.809	1.236093943	0.318	3.144654088	1	1	1	59253.4	59253.4	1	13071
Chromosome_1_RagTag	137920000	137930000	14.38060606	1.36e-9	NA	0	0	0	0	0	0	0	0	137925000	98	0.0684	0.0455	0.0972	0.1207	0.1165	0.1044	0.3644	0.1667	0.1819	11.055	4.191	8.34	0.318	0.804	1.243781095	0.318	3.144654088	1	1	1	59253.4	59253.4	1	13072
Chromosome_1_RagTag	139570000	139580000	13.5230303	1.41e-9	1.41e-9	0	0	0	0	0	0	0	0	139575000	220	0.2328	0.1638	0.0894	0.2275	0.2242	0.1358	0.0702	0.1727	0.0366	2.624	2.971	3.929	0.991	0.907	1.102535832	1.075	0.930232558	0.991	1.068	0.936329588	148410.276	156472.716	0.948473828	13237
Chromosome_10_RagTag	200000	210000	14.19787879	2.24e-9	2.24e-9	0	0	0	0	0	0	0	0	205000	203	0.1393	0.2089	0.1731	0.2619	0.2495	0.2008	0.2056	0.2283	0.0253	2.896	3.53	8.309	0.821	1.145	0.873362445	0.254	3.937007874	1.335	0.981	1.019367992	196098.497	117358.583	1.67093443	14908
Chromosome_10_RagTag	440000	450000	13.70666667	5.99e-9	5.99e-9	0	0	0	0	0	0	0	0	445000	403	0.112	0.2071	0.1455	0.2114	0.184	0.1994	0.1429	0.1749	0.0631	2.528	3.448	5.178	1.447	0.795	1.257861635	0.662	1.510574018	1.051	1.18	0.847457627	146013.101	145585.394	1.002937843	14932
Chromosome_10_RagTag	8080000	8090000	14.07757576	3.83e-9	3.83e-9	0	0	0	0	0	0	0	0	8085000	381	0.0913	0.2338	0.1441	0.2291	0.1715	0.2456	0.1736	0.1824	0.1345	3.648	3.593	4.981	0.94	0.866	1.154734411	0.626	1.597444089	0.938	1.326	0.754147813	171183.412	211441.565	0.809601518	15696
Chromosome_10_RagTag	14660000	14670000	14.03151515	9.39e-10	9.39e-10	0	0	0	0	0	0	0	0	14665000	184	0.0303	0.0994	0.0953	0.1157	0.0994	0.11	0.2868	0.2152	0.0614	5.115	3.851	11.572	1.377	1	1	0.439	2.277904328	0.841	1.377	0.726216412	68448.88	104873.1	0.652682909	16353
Chromosome_10_RagTag	14670000	14680000	13.94939394	9.39e-10	9.39e-10	0	0	0	0	0	0	0	0	14675000	186	0.0267	0.0969	0.0991	0.0965	0.088	0.1051	0.2236	0.1573	0.0351	4.536	3.873	9.485	1.196	1.196	0.836120401	0.381	2.624671916	0.442	1.196	0.836120401	38620.965	104873.1	0.368263787	16354
Chromosome_10_RagTag	14680000	14690000	13.22181818	9.08e-11	9.08e-11	0	0	0	0	0	0	0	0	14685000	181	0.0538	0.1315	0.0933	0.1405	0.1024	0.1382	0.2092	0.1598	0.1052	4.9	5.481	8.79	1	1	1	0.319	3.134796238	0.329	1	1	34473.016	104873.1	0.32871171	16355
Chromosome_10_RagTag	14690000	14700000	13.80848485	9.08e-11	9.08e-11	0	0	0	0	0	0	0	0	14695000	193	0.0465	0.1381	0.1216	0.1327	0.1171	0.1689	0.1832	0.1573	0.1324	3.323	5.034	8.375	1.246	1	1	0.319	3.134796238	0.469	1	1	49155.672	104873.1	0.468715734	16356
Chromosome_10_RagTag	14700000	14710000	13.89424242	9.08e-11	9.08e-11	0	0	0	0	0	0	0	0	14705000	172	0.0478	0.1103	0.1275	0.1356	0.1273	0.1481	0.2685	0.1765	0.1091	2.983	5.61	9.829	1	1	1	0.319	3.134796238	0.904	1	1	94836.766	104873.1	0.904300207	16357
Chromosome_10_RagTag	14710000	14720000	14.01848485	9.08e-11	9.08e-11	0	0	0	0	0	0	0	0	14715000	196	0.0689	0.1168	0.1059	0.1516	0.1276	0.1351	0.2451	0.1834	0.0974	3.492	4.918	8.079	1.223	1	1	0.319	3.134796238	1	1	1	104873.1	104873.1	1	16358
Chromosome_10_RagTag	17880000	17890000	14.03393939	5.23e-10	5.23e-10	0	0	0	0	0	0	0	0	17885000	187	0.0501	0.0952	0.0992	0.1343	0.10780000000000001	0.1086	0.3034	0.1762	0.0557	3.86	3.12	9.123	1.038	1.038	0.963391137	0.587	1.703577513	0.656	1.038	0.963391137	66552.552	104873.1	0.634600789	16675
Chromosome_10_RagTag	18250000	18260000	14.21	1.35e-9	1.35e-9	0	0	0	0	0	0	0	0	18255000	228	0.1146	0.1459	0.0673	0.1464	0.1331	0.1198	0.0598	0.1944	0.0613	2.102	5.551	4.257	1.752	0.235	4.255319149	1.083	0.923361034	1.56	0.492	2.032520325	231093.98	80714.897	2.863089573	16712
Chromosome_10_RagTag	18260000	18270000	14.10090909	1.35e-9	1.35e-9	0	0	0	0	0	0	0	0	18265000	282	0.2246	0.2262	0.0808	0.2366	0.2186	0.1865	0.0248	0.1877	0.1033	1.667	6.33	3.314	3.284	0.372	2.688172043	2.378	0.420521447	2.912	1.007	0.993048659	252457.02	87137.685	2.897219728	16713
Chromosome_10_RagTag	24310000	24320000	12.11	1.4e-9	1.4e-9	0	0	0	0	0	0	0	0	24315000	260	0.0683	0.186	0.1029	0.1891	0.124	0.1678	0.2	0.1801	0.0778	3.663	3.37	5.839	1.273	0.864	1.157407407	0.676	1.479289941	0.973	1.062	0.941619586	122323.364	103143.103	1.185957766	17307
Chromosome_10_RagTag	24350000	24360000	14.23393939	3.75e-9	3.75e-9	0	0	0	0	0	0	0	0	24355000	282	0.0416	0.1648	0.0981	0.1491	0.0984	0.1501	0.1858	0.1632	0.0685	3.805	4.147	5.522	3.33	0.873	1.145475372	0.143	6.993006993	0.753	2.212	0.452079566	63314.661	125835.447	0.503154417	17311
Chromosome_10_RagTag	24600000	24610000	14.03545455	2.22e-9	2.22e-9	0	0	0	0	0	0	0	0	24605000	178	0.0348	0.161	0.0896	0.1742	0.0871	0.1639	0.2855	0.1596	0.1383	3.516	3.696	8.702	2.77	0.962	1.03950104	0.088	11.36363636	0.904	2.836	0.352609309	33440.5	104873.1	0.318866325	17336
Chromosome_10_RagTag	24610000	24620000	14.2869697	2.22e-9	2.22e-9	0	0	0	0	0	0	0	0	24615000	200	0.0501	0.1494	0.1191	0.162	0.118	0.1635	0.2424	0.1585	0.0998	3.941	4.73	9.529	1.104	0.608	1.644736842	0.03	33.33333333	0.792	1.086	0.920810313	96986.694	122610.507	0.791014542	17337
Chromosome_10_RagTag	24780000	24790000	12.0669697	2.09e-10	2.09e-10	0	0	0	0	0	0	0	0	24785000	214	0.0133	0.1484	0.0329	0.1301	0.0319	0.1242	0.238	0.1536	0.1685	10.232	5.299	7.597	0.316	1	1	0.085	11.76470588	0.176	2.944	0.339673913	5894.3	98444.166	0.059874549	17354
Chromosome_11_RagTag	14040000	14050000	13.64818182	9.79e-10	9.79e-10	0	0	0	0	0	0	0	0	14045000	215	0.0753	0.1442	0.108	0.1664	0.1451	0.1409	0.2094	0.2225	0.0568	4.236	3.016	7.21	0.874	2.297	0.435350457	0.138	7.246376812	1.301	1.229	0.81366965	63502.253	61299.214	1.035939107	18798
Chromosome_11_RagTag	22430000	22440000	14.26333333	1.55e-9	NA	0	0	0	1	0	0	0	1	22435000	75	0.0448	0.0647	0.0518	0.1656	0.0748	0.1365	0.5092	0.2145	0.4062	14.036	5.288	11.101	0.318	1	1	0.564	1.773049645	1	1.739	0.575043128	59253.422	103048.334	0.575006113	19508
