scaffold	length	original_order	sex_chrom_scaffolds
scaffold_256	88022	461	
scaffold_257	87683	394	
scaffold_258	86785	389	
scaffold_259	85890	387	
scaffold_260	82860	458	
scaffold_261	80038	73	
scaffold_262	79364	143	
scaffold_263	79187	61	
scaffold_264	78808	370	
scaffold_265	78195	167	
scaffold_266	77755	352	
scaffold_267	77574	15	
scaffold_268	77262	395	
scaffold_269	76809	365	
scaffold_270	76740	28	
scaffold_271	76424	403	
scaffold_272	76095	46	
scaffold_273	75596	420	
scaffold_274	75579	454	
scaffold_275	75461	140	
scaffold_276	75034	43	
scaffold_277	74521	430	
scaffold_278	72346	72	
scaffold_279	71572	48	
scaffold_280	71295	446	
scaffold_281	70465	166	
scaffold_282	70390	7	
scaffold_283	69533	149	
scaffold_284	68787	460	
scaffold_285	68701	146	
scaffold_286	68404	182	
scaffold_287	67916	151	
scaffold_288	66909	382	
scaffold_289	66824	362	
scaffold_290	66681	82	
scaffold_291	65832	29	
scaffold_292	65708	464	
scaffold_293	64473	45	
scaffold_294	64290	47	
scaffold_295	63307	183	
scaffold_296	62412	122	
scaffold_297	62283	368	
scaffold_298	61550	174	
scaffold_299	60920	172	
scaffold_300	60704	194	
scaffold_301	60574	191	
scaffold_302	60539	384	
scaffold_303	60325	178	
scaffold_304	59843	419	
scaffold_305	59841	423	
scaffold_306	59815	79	
scaffold_307	59051	33	
scaffold_308	58911	163	
scaffold_309	58661	50	
scaffold_310	58358	75	x
scaffold_311	57791	103	
scaffold_312	57565	137	
scaffold_313	56905	38	
scaffold_314	56905	130	
scaffold_315	56658	100	
scaffold_316	56285	67	x
scaffold_317	56017	66	
scaffold_318	55644	401	
scaffold_319	55335	104	
scaffold_320	55198	138	
scaffold_321	55083	32	
scaffold_322	54997	12	
scaffold_323	54726	180	
scaffold_324	54390	98	
scaffold_325	54306	376	
scaffold_326	53138	3	
scaffold_327	52180	39	
scaffold_328	52055	14	
scaffold_329	51809	89	
scaffold_330	51702	161	
scaffold_331	51043	390	
scaffold_332	50901	150	
scaffold_333	50755	112	
scaffold_334	50606	162	
scaffold_335	49442	157	
scaffold_336	49379	54	
scaffold_337	49247	433	
scaffold_338	48504	52	
scaffold_339	48300	185	
scaffold_340	48123	101	
scaffold_341	47620	158	
scaffold_342	47121	459	
scaffold_343	46913	13	
scaffold_344	46831	152	
scaffold_345	46738	406	
scaffold_346	46555	147	
scaffold_347	46244	96	
scaffold_348	46117	41	
scaffold_349	46013	177	
scaffold_350	45959	53	
scaffold_351	45539	144	
scaffold_352	45484	30	
scaffold_353	45411	80	
scaffold_354	44807	186	
scaffold_355	44686	323	
scaffold_356	44592	195	
scaffold_357	44513	364	
scaffold_358	44339	27	
scaffold_359	44229	154	
scaffold_360	43749	20	
scaffold_361	43631	400	
scaffold_362	43527	40	
scaffold_363	43455	83	
scaffold_364	43102	94	
scaffold_365	42405	181	
scaffold_366	42356	35	
scaffold_367	42038	9	
scaffold_368	41386	114	
scaffold_369	41079	6	
scaffold_370	40802	23	
scaffold_371	40421	363	
scaffold_372	39998	70	
scaffold_373	39570	378	
scaffold_374	39167	34	
scaffold_375	38937	179	
scaffold_376	38897	16	
scaffold_377	38773	1	
scaffold_378	38639	110	
scaffold_379	38460	388	
scaffold_380	38014	131	
scaffold_381	38014	145	
scaffold_382	37211	88	
scaffold_383	37202	124	
scaffold_384	37131	60	
scaffold_385	37085	129	
scaffold_386	37010	383	
scaffold_387	36393	141	
scaffold_388	36392	176	
scaffold_389	35954	168	
scaffold_390	35869	99	
scaffold_391	35809	49	
scaffold_392	35605	135	
scaffold_393	35382	92	
scaffold_394	35235	95	
scaffold_395	34895	25	
scaffold_396	34807	120	
scaffold_397	34114	197	
scaffold_398	34027	463	
scaffold_399	33992	159	
scaffold_400	33929	462	
scaffold_401	33566	121	
scaffold_402	33341	132	
scaffold_403	33317	367	
scaffold_404	33253	192	
scaffold_405	33221	44	
scaffold_406	32625	160	
scaffold_407	32413	117	
scaffold_408	32338	198	
scaffold_409	32209	187	
scaffold_410	32202	10	
scaffold_411	32181	11	
scaffold_412	31648	377	
scaffold_413	31623	123	
scaffold_414	31445	371	
scaffold_415	31410	87	
scaffold_416	31270	81	
scaffold_417	30941	107	
scaffold_418	30873	127	
scaffold_419	30772	396	
scaffold_420	30425	125	
scaffold_421	30009	457	
scaffold_422	29934	397	
scaffold_423	29891	196	
scaffold_424	29835	19	
scaffold_425	29811	142	
scaffold_426	29742	169	
scaffold_427	29697	118	
scaffold_428	29554	189	
scaffold_429	29452	115	
scaffold_430	29402	5	
scaffold_431	29334	8	
scaffold_432	29227	105	x
scaffold_433	29136	91	
scaffold_434	28951	153	
scaffold_435	28672	106	
scaffold_436	28567	102	
scaffold_437	28066	2	
scaffold_438	27985	37	
scaffold_439	27932	113	
scaffold_440	27843	136	
scaffold_441	27675	133	
scaffold_442	27635	173	
scaffold_443	27580	109	
scaffold_444	27518	379	
scaffold_445	27233	116	
scaffold_446	26615	190	
scaffold_447	26455	249	
scaffold_448	26345	108	
scaffold_449	26268	128	
scaffold_450	26251	375	
scaffold_451	26032	156	
scaffold_452	25857	86	
scaffold_453	25404	90	
scaffold_454	25278	69	
scaffold_455	25189	24	
scaffold_456	25146	31	
scaffold_457	25139	111	
scaffold_458	25087	21	
scaffold_459	25046	74	
scaffold_460	24643	18	
scaffold_461	24554	51	
scaffold_462	24443	42	x
scaffold_463	24137	97	
scaffold_464	24030	165	
scaffold_465	23902	4	
scaffold_466	23804	184	
scaffold_467	23392	119	
scaffold_468	23315	134	
scaffold_469	22909	85	
scaffold_470	21939	93	
scaffold_471	20762	148	
scaffold_472	20601	36	
scaffold_473	19985	170	
scaffold_474	17000	77	
scaffold_475	16943	374	
scaffold_476	16061	58	
scaffold_477	15061	407	
